"Codigo_especie","Provincia","Parametro","F.c.","Par_esp","Modelo","a","b","c","d","p","q","r","R2","Especie"
846,21,"VSC",4,"0",7,-19.79,0.9029853,-7.55e-05,0,0,0,0,0.97867,NA
846,21,"IAVC",4,"0",14,0,0,0,0,0.0340273,0.39465,0,0.01178,NA
846,21,"VCC",5,"0",11,0,0,0,0,0.0009073,2.0208,0.47393,0.99579,NA
846,21,"VSC",5,"0",7,-10.54,0.8633231,2.27e-05,0,0,0,0,0.99484,NA
846,21,"IAVC",5,"0",14,0,0,0,0,0.0340273,0.39465,0,0.01178,NA
846,45,"VSC",4,"0",7,-20.7,0.8341333,1.48e-05,0,0,0,0,0.98639,NA
846,45,"IAVC",4,"0",14,0,0,0,0,0.0122461,1.02187,0,0.4668,NA
846,5,"VSC",3,"11",7,-4.69,0.8302011,1.34e-05,0,0,0,0,0.99899,NA
846,5,"IAVC",3,"11",19,0.81908,0.0011334,1.07e-05,-5e-09,0,0,0,0.34589,NA
846,5,"VLE",3,"11",12,0,0,0,0,3.19e-05,2.56596,0,0.60909,NA
846,5,"VCC",4,"11",11,0,0,0,0,0.0008528,2.06375,0.06101,0.97381,NA
846,5,"IAVC",4,"11",19,0.81908,0.0011334,1.07e-05,-5e-09,0,0,0,0.34589,NA
846,5,"VLE",4,"11",12,0,0,0,0,3.19e-05,2.56596,0,0.60909,NA
846,13,"IAVC",2,"0",16,1.13002,3.61e-05,0,0,0,0,0,0.51707,NA
846,13,"IAVC",3,"0",16,1.13002,3.61e-05,0,0,0,0,0,0.51707,NA
846,41,"VCC",1,"0",11,0,0,0,0,0.0005712,2.12234,0.42665,0.99221,NA
846,41,"VSC",1,"0",7,-9.42,0.8549039,2.49e-05,0,0,0,0,0.99393,NA
846,41,"IAVC",1,"0",21,0,0,8.44377e-05,-6.68053e-08,0,0,0,0.653110888,NA
846,41,"VLE",1,"0",12,0,0,0,0,1e-07,3.538,0,0.72999,NA
846,41,"VCC",2,"0",11,0,0,0,0,0.0005712,2.12234,0.42665,0.99221,NA
846,41,"VSC",2,"0",7,-9.42,0.8549039,2.49e-05,0,0,0,0,0.99393,NA
846,41,"IAVC",2,"0",21,0,0,8.44377e-05,-6.68053e-08,0,0,0,0.653110888,NA
846,41,"VLE",2,"0",12,0,0,0,0,1e-07,3.538,0,0.72999,NA
846,41,"VCC",3,"0",11,0,0,0,0,0.0005712,2.12234,0.42665,0.99221,NA
846,41,"VSC",3,"0",7,-9.42,0.8549039,2.49e-05,0,0,0,0,0.99393,NA
846,41,"IAVC",3,"0",21,0,0,8.44377e-05,-6.68053e-08,0,0,0,0.653110888,NA
846,41,"VLE",3,"0",12,0,0,0,0,1e-07,3.538,0,0.72999,NA
846,41,"VCC",4,"0",11,0,0,0,0,0.0004028,1.98274,0.68513,0.80617,NA
846,41,"VSC",4,"0",7,-5.1,0.8430142,7.32e-05,0,0,0,0,0.9847,NA
846,41,"IAVC",4,"0",21,0,0,8.44377e-05,-6.68053e-08,0,0,0,0.653110888,NA
846,41,"VLE",4,"0",12,0,0,0,0,1e-07,3.538,0,0.72999,NA
846,41,"VCC",5,"0",11,0,0,0,0,0.0005712,2.12234,0.42665,0.99221,NA
846,41,"VSC",5,"0",7,-9.42,0.8549039,2.49e-05,0,0,0,0,0.99393,NA
846,41,"IAVC",5,"0",21,0,0,8.44377e-05,-6.68053e-08,0,0,0,0.653110888,NA
846,41,"VLE",5,"0",12,0,0,0,0,1e-07,3.538,0,0.72999,NA
846,17,"VLE",4,"11",12,0,0,0,0,4.51e-05,2.56264,0,0.563589990139008,NA
846,13,"IAVC",4,"0",16,1.13002,3.61e-05,0,0,0,0,0,0.51707,NA
846,13,"IAVC",5,"0",16,1.13002,3.61e-05,0,0,0,0,0,0.51707,NA
846,13,"VCC",2,"0",11,0,0,0,0,0.0014086,1.88466,0.48019,0.87501,NA
846,13,"VCC",4,"0",11,0,0,0,0,0.0014086,1.88466,0.48019,0.87501,NA
846,6,"VSC",5,"11",7,-33.88,0.9075703,2.14e-05,0,0,0,0,0.9942,NA
846,6,"IAVC",5,"11",19,6.49539,-0.0532777,0.0001803,-1.2158e-07,0,0,0,0.3822,NA
846,6,"VLE",5,"11",12,0,0,0,0,4.51e-05,2.56264,0,0.5636,NA
846,18,"VSC",1,"0",7,-27.36,0.8217877,1.37e-05,0,0,0,0,0.97578,NA
846,18,"VCC",2,"0",11,0,0,0,0,0.0014198,1.85641,0.7336,0.95111,NA
846,18,"VSC",2,"0",7,-27.36,0.8217877,1.37e-05,0,0,0,0,0.97578,NA
846,18,"IAVC",2,"0",13,4.27805,0.0239782,-232.7939189,0,0,0,0,0.49913,NA
846,5,"VSC",5,"11",7,-4.69,0.8302011,1.34e-05,0,0,0,0,0.99899,NA
846,13,"VCC",1,"0",11,0,0,0,0,0.0014086,1.88466,0.48019,0.87501,NA
846,13,"VCC",5,"0",11,0,0,0,0,0.0014086,1.88466,0.48019,0.87501,NA
846,13,"VLE",1,"0",12,0,0,0,0,4.51e-05,2.56264,0,0.56359,NA
846,13,"VLE",2,"0",12,0,0,0,0,4.51e-05,2.56264,0,0.56359,NA
846,37,"VLE",1,"11",12,0,0,0,0,4.51e-05,2.56264,0,0.5636,NA
846,37,"VCC",2,"11",11,0,0,0,0,0.0010514,1.90686,0.57297,0.9614,NA
846,37,"VSC",2,"11",7,-0.68,0.7806408,3.83e-05,0,0,0,0,0.992,NA
846,37,"IAVC",2,"11",16,2.73094,2.06e-05,0,0,0,0,0,0.3437,NA
846,45,"IAVC",1,"0",14,0,0,0,0,0.0122461,1.02187,0,0.4668,NA
846,21,"VLE",4,"0",12,0,0,0,0,4.51e-05,2.56264,0,0.56359,NA
846,45,"VSC",2,"0",7,-20.7,0.8341333,1.48e-05,0,0,0,0,0.98639,NA
846,45,"IAVC",2,"0",14,0,0,0,0,0.0122461,1.02187,0,0.4668,NA
846,45,"VLE",2,"0",12,0,0,0,0,4.51e-05,2.56264,0,0.56359,NA
846,21,"VLE",5,"0",12,0,0,0,0,4.51e-05,2.56264,0,0.56359,NA
846,37,"VCC",5,"11",11,0,0,0,0,0.0010514,1.90686,0.57297,0.9614,NA
846,37,"VSC",5,"11",7,-0.68,0.7806408,3.83e-05,0,0,0,0,0.992,NA
846,45,"VLE",4,"0",12,0,0,0,0,4.51e-05,2.56264,0,0.56359,NA
846,45,"VCC",5,"0",11,0,0,0,0,0.0014086,1.88466,0.48019,0.87501,NA
846,5,"VCC",5,"11",11,0,0,0,0,0.0006635,1.98454,0.63146,0.99678,NA
846,5,"IAVC",5,"11",19,0.81908,0.0011334,1.07e-05,-5e-09,0,0,0,0.34589,NA
846,13,"VLE",3,"0",12,0,0,0,0,4.51e-05,2.56264,0,0.56359,NA
846,13,"VLE",4,"0",12,0,0,0,0,4.51e-05,2.56264,0,0.56359,NA
846,13,"VLE",5,"0",12,0,0,0,0,4.51e-05,2.56264,0,0.56359,NA
