Codigo_IFN,Nombre_Especie,Ambito_de_aplicacion,Origen,Arborea_Matorral,Grupo,Hoja
1137,Vaccinium spp.,Nacional,IFN4_MFE25,MATO,,
1138,Asparagus acutifolius,Nacional,IFN4_MFE25,MATO,,
1139,Juniperus sabina,Nacional,IFN4_MFE25,MATO,,
1144,Lonicera etrusca,Nacional,IFN4_MFE25,MATO,,
1154,Dorycnium hirsutum,Nacional,IFN4_MFE25,MATO,,
1156,Genista hirsuta,Nacional,IFN4_MFE25,MATO,,
1163,Adenocarpus decorticans,C.C.A.A. de Navarra. Galicia. Asturias y Cantabria,IFN4_MFE25,MATO,,
1165,Retama sphaerocarpa,Nacional,IFN4_MFE25,MATO,,
1166,Erinacea anthyllis,Nacional,IFN4_MFE25,MATO,,
1167,Cytisus scoparius,Nacional,IFN4_MFE25,MATO,,
1170,Vella spinosa,Nacional,IFN4_MFE25,MATO,,
1171,Phlomis lychnitis,Nacional,IFN4_MFE25,MATO,,
1179,Teucrium fruticans,Nacional,IFN4_MFE25,MATO,,
1189,Cytisus striatus,Nacional,IFN4_MFE25,MATO,,
1190,Cytisus villosus,Nacional,IFN4_MFE25,MATO,,
1202,Erica tetralix,Nacional,IFN4_MFE25,MATO,,
1255,Genista anglica,Nacional,IFN4_MFE25,MATO,,
1355,Genista cinerascens,Nacional,IFN4_MFE25,MATO,,
1455,Genista falcata,Nacional,IFN4_MFE25,MATO,,
1555,Genista florida,Nacional,IFN4_MFE25,MATO,,
1655,Genista hispanica,Nacional,IFN4_MFE25,MATO,,
1704,Emerus major,Provincia de Gerona/Girona,IFN4_MFE25,MATO,,
1706,Medicago arborea,Provincia de Gerona/Girona,IFN4_MFE25,MATO,,
1707,Paliurus spina-christi,Provincia de Gerona/Girona,IFN4_MFE25,MATO,,
1708,Pyracantha coccinea,Provincia de Gerona/Girona,IFN4_MFE25,MATO,,
1709,Rhododendron ferrugineum,Provincia de Gerona/Girona,IFN4_MFE25,MATO,,
1710,Teline linifolia,Provincia de Gerona/Girona,IFN4_MFE25,MATO,,
1755,Genista hystrix,Nacional,IFN4_MFE25,MATO,,
2101,Cistus populifolius,Nacional,IFN4_MFE25,MATO,,
2102,Erica australis,Nacional,IFN4_MFE25,MATO,,
2103,Adenocarpus spp.,Nacional,IFN4_MFE25,MATO,,
2104,Calicotome spinosa,Nacional,IFN4_MFE25,MATO,,
2105,Calicotome spp.,Nacional,IFN4_MFE25,MATO,,
2109,Lavandula stoechas,Nacional,IFN4_MFE25,MATO,,
2110,Daphne laureola,Nacional,IFN4_MFE25,MATO,,
2111,Cistus psilosepalus,Nacional,IFN4_MFE25,MATO,,
2115,Viburnum tinus,Nacional,IFN4_MFE25,MATO,,
2121,Rubus idaeus,Nacional,IFN4_MFE25,MATO,,
2122,Rhamnus saxatilis,C.C.A.A. de Navarra. Galicia. Asturias y Cantabria,IFN4_MFE25,MATO,,
2124,Bupleurum fruticescens,Nacional,IFN4_MFE25,MATO,,
2127,Santolina chamaecyparissus,Nacional,IFN4_MFE25,MATO,,
2128,Helichrysum spp.,Nacional,IFN4_MFE25,MATO,,
2131,Ribes rubrum,C.C.A.A. de Navarra. Galicia. Asturias y Cantabria,IFN4_MFE25,MATO,,
